[gene_name]	expression
AC005840.3	2
AC005840.4	40
AC005840.5	26
AC005841.1	2
AC005842.1	5
AC005845.1	0
AC005856.1	1
AC005858.1	0
AC005858.2	0
AC005858.3	0
AC005863.1	1
AC005865.1	1
AC005865.2	3
AC005865.3	0
AC005868.1	0
AC005871.1	0
AC005871.2	0
AC005884.1	0
AC005884.2	0
AC005888.1	1
AC005899.1	3
AC005899.2	0
AC005899.3	0
AC005899.4	0
AC005899.5	11
AC005899.6	14
AC005899.7	9
AC005899.8	11
AC005901.1	0
AC005906.1	0
AC005906.2	3
AC005906.3	0
AC005908.1	0
AC005908.2	0
AC005908.3	2
AC005909.1	1
AC005909.2	0
AC005911.1	16
AC005912.1	29
AC005912.2	3
AC005914.1	10
AC005915.1	3
AC005920.1	12
AC005920.2	0
AC005920.3	1
AC005920.4	0
AC005921.1	0
AC005921.2	1
AC005921.3	1037
AC005921.4	0
AC005943.1	0
AC005943.2	0
AC005944.1	0
AC005951.1	0
AC005954.1	305
AC005954.2	2
AC005954.3	0
AC005962.1	2
AC005962.2	6
AC005972.1	0
AC005972.2	0
AC005972.3	0
AC005993.1	0
AC005996.1	0
AC005998.1	0
AC005999.1	0
AC005999.2	0
AC006001.1	24
AC006001.2	108
AC006001.3	848
AC006001.4	0
AC006003.1	0
AC006004.1	0
AC006006.1	0
AC006007.1	0
AC006008.1	49
AC006011.1	0
AC006011.2	27
AC006013.1	0
AC006015.1	0
AC006017.1	111
AC006019.1	3
AC006019.2	0
AC006019.3	0
AC006020.1	2
AC006022.1	0
AC006023.1	3
AC006023.2	2
AC006026.1	1
AC006026.2	0
AC006026.3	0
AC006027.1	10
AC006028.1	1
AC006030.1	6
AC006033.1	0
AC006033.2	0
AC006037.1	0
AC006037.2	0
AC006040.1	0
AC006041.1	1
AC006041.2	0
AC006042.1	0
AC006042.2	8
AC006042.3	83
AC006042.4	6
AC006043.1	5
AC006055.1	0
AC006058.1	1
AC006058.2	0
AC006058.3	1
AC006058.4	3
AC006059.1	5
AC006059.2	3
AC006059.3	0
AC006059.4	0
AC006059.5	1
AC006062.1	1
AC006063.1	8
AC006063.2	0
AC006063.3	0
AC006063.4	0
AC006064.1	1
AC006064.2	2
AC006064.3	8
AC006064.4	7
AC006064.5	0
AC006064.6	0
AC006065.1	0
AC006065.2	0
AC006065.3	0
AC006065.4	2
AC006065.5	0
AC006065.6	0
AC006076.1	0
AC006077.1	0
AC006077.2	53
AC006111.1	3
AC006111.2	7
AC006111.3	2
AC006112.1	0
AC006115.1	0
AC006115.2	1
AC006116.1	1
AC006116.10	0
AC006116.11	6
AC006116.2	3
AC006116.3	0
AC006116.4	0
AC006116.5	2
AC006116.6	1
AC006116.7	2
AC006116.8	25
AC006116.9	6
AC006122.1	6
AC006128.1	6
AC006130.1	1
AC006130.2	0
AC006130.3	38
AC006133.1	0
AC006141.1	146
AC006144.1	1
AC006144.2	0
AC006145.1	2
AC006146.1	0
AC006148.1	13
AC006148.2	3
AC006150.1	0
AC006153.1	0
AC006157.1	0
AC006158.1	0
AC006158.2	0
AC006158.3	0
AC006159.1	1
AC006159.2	0
AC006160.1	22
AC006160.2	0
AC006195.1	28
AC006197.1	0
AC006197.2	2
AC006199.1	0
AC006205.1	0
AC006205.2	2
AC006206.1	0
AC006206.2	1
AC006207.1	18
AC006210.1	0
AC006210.2	1
AC006213.1	3
AC006213.2	19
AC006213.3	2
AC006213.4	2
AC006213.5	3
AC006213.6	4
AC006213.7	3
AC006230.1	41
AC006236.1	1
AC006237.1	7
AC006238.1	7
AC006238.2	0
AC006249.1	0
AC006252.1	5
AC006254.1	137
AC006254.2	0
AC006254.3	0
AC006262.1	2
AC006262.2	0
AC006262.3	0
AC006262.4	0
AC006270.1	0
AC006270.2	0
AC006270.3	1
AC006272.1	1
AC006272.2	0
AC006273.1	0
AC006277.1	0
AC006288.1	1
AC006296.1	0
AC006296.2	1
AC006296.3	1
AC006299.1	9
AC006305.1	3
AC006305.2	0
AC006305.3	1
AC006326.1	2
AC006328.1	0
AC006328.2	0
AC006329.1	1
AC006329.2	1
AC006330.1	79
AC006333.1	28
AC006333.2	40
AC006335.1	0
AC006335.2	0
AC006338.1	0
AC006338.2	0
AC006348.1	2
AC006349.1	2
AC006355.1	1
AC006355.2	0
AC006357.1	0
AC006362.1	0
AC006363.1	0
AC006364.1	4
AC006366.1	0
AC006369.1	3
AC006369.2	1
AC006372.1	2
AC006372.2	0
AC006372.3	3
AC006372.4	1
AC006378.1	0
AC006378.2	2
AC006380.1	0
AC006386.1	0
AC006386.2	0
AC006387.1	1
AC006390.1	0
AC006398.1	0
AC006427.1	6
AC006427.2	7
AC006435.1	5
AC006435.2	45
AC006435.3	8
AC006435.4	0
AC006435.5	16
AC006441.1	0
AC006441.2	1
AC006441.3	1
AC006441.4	0
AC006441.5	0
AC006445.1	0
AC006445.2	1
AC006445.3	2
AC006449.1	0
AC006449.2	7
AC006449.3	0
AC006449.5	9
AC006449.6	73
AC006449.7	5
AC006450.1	1
AC006450.2	0
AC006450.3	1
AC006452.1	0
AC006453.1	2
AC006453.2	17
AC006453.3	1
AC006453.4	0
AC006453.5	0
AC006455.1	0
AC006455.2	0
